,station_name,lng,lat
362,Clark St & Lincoln Ave,-87.6346,41.915689
363,Leavitt St & Archer Ave,-87.6806044594,41.82879201994
364,Clinton St & Madison St,-87.64106083333333,41.88223283333333
365,Lake Park Ave & 53rd St,-87.5864498959,41.79949429373
366,Kedzie Ave & Palmer Ct,-87.707322,41.921525
367,California Ave & Fletcher St,-87.698007756,41.93842879148
368,California Ave & Francis Pl (Temp),-87.69742280244827,41.91849115368695
369,Bosworth Ave & Howard St,-87.669563,42.019537
370,Burnham Harbor,-87.613348,41.856268
371,LaSalle St & Adams St,-87.6319852213,41.87934437346
372,Clinton St & Washington Blvd,-87.64117,41.88338
373,Clark St & 9th St (AMLI),-87.631246,41.870816
374,Loomis St & Lexington St,-87.661501,41.872187
375,Cottage Grove Ave & 67th St,-87.60563486,41.77372095205
376,Ashland Ave & 13th St,-87.666507,41.865234
377,Orleans St & Merchandise Mart Plaza,-87.63639,41.888243
378,Hoyne Ave & 34th St,-87.68,41.83
379,Pulaski Rd & 51st St,-87.72,41.8
380,Damen Ave & Melrose Ave,-87.6785,41.9406
381,Lincoln Ave & Fullerton Ave,-87.64652266666667,41.92428266666667
382,Peoria St & Jackson Blvd,-87.64943466666666,41.87756533333334
383,Ashland Ave & Archer Ave,-87.66568933333333,41.83919266666667
384,Greenview Ave & Diversey Pkwy,-87.66599,41.93269383333333
385,Claremont Ave & Hirsch St,-87.685854,41.907781
386,State St & Kinzie St,-87.627754,41.889187
387,Kingsbury St & Erie St,-87.64169722795485,41.89380805624359
388,California Ave & Division St,-87.697478771,41.903019667
389,Noble St & Milwaukee Ave,-87.6626,41.90068
390,Morgan St & Polk St,-87.65103,41.871737
391,Western Ave & Division St,-87.687275,41.902893
392,Racine Ave & Congress Pkwy,-87.657045,41.874612166666665
393,Damen Ave & Grand Ave,-87.676842212677,41.891264346481535
394,Wood St & Augusta Blvd,-87.6722,41.899181
395,Wabash Ave & Adams St,-87.6256886059,41.87947235235
396,State St & 95th St,-87.6228544,41.7218499
397,McClurg Ct & Ohio St,-87.61728912591934,41.892592119709725
398,Damen Ave & Cullerton St,-87.67569959163664,41.854966518753926
399,Racine Ave & Belmont Ave,-87.65885983333334,41.93973166666667
400,Pine Grove Ave & Waveland Ave,-87.64645278453827,41.94947274088333
401,Marine Dr & Ainslie St,-87.650154,41.9716
402,Michigan Ave & Lake St,-87.624117,41.886024
403,Canal St & Jackson Blvd,-87.639620185,41.876867294
404,Central St & Girard Ave,-87.686152,42.064313
405,W 103rd St & S Avers Ave,-87.72,41.71
406,Desplaines St & Kinzie St,-87.644522667,41.888616681
407,Wells St & Walton St,-87.63443007,41.89993001
408,Halsted St & Polk St,-87.64664,41.87184
